OBJECTID,DepartmentCode,KGISVillageID,KGISWardID,KGISCode,KGISPOL_STAID,POL_STAName,KGISPSCode,latitude,longitude
81,164431398,30092,,29572055428031620000HMPOLPUOFFPOS0003,84,Cubbon Park PS,PS - 84,12.9800298427157,77.5979641429556
82,164431397,30092,,29572055428031620000HMPOLPUOFFPOS0004,85,Vidhana Soudha PS,PS - 85,12.9773209692159,77.5886142885905
83,164431390,15151,,29572055428031620000HMPOLPUOFFPOS0005,86,Viveknagar PS,PS - 86,12.951547000394,77.6222989999259
84,164431386,30092,,29572055428031620000HMPOLPUOFFPOS0006,87,Halasurgate PS,PS - 87,12.9679059997634,77.5867767998637
85,164431391,15150,,29572055428031620000HMPOLPUOFFPOS0007,88,Sampangiramanagar PS,PS - 88,12.9630649998591,77.5921599999535
86,164431388,15075,,29572055428031620000HMPOLPUOFFPOS0008,89,Wilsongarden PS,PS - 89,12.9500430001231,77.5961980000424
87,164431394,15087,,29572055428031620000HMPOLPUOFFPOS0009,90,High Grounds PS,PS - 90,12.9899573531302,77.5927664453475
88,164431396,15168,,29572055428031620000HMPOLPUOFFPOS0010,91,Sadashivanagar PS,PS - 91,13.0149094111584,77.5725447841245
89,164431393,30090,,29572055428031620000HMPOLPUOFFPOS0011,92,Seshadripuram PS,PS - 92,12.9879292996002,77.5735902002227
90,164431395,15161,,29572055428031620000HMPOLPUOFFPOS0012,93,Vyalikaval PS,PS - 93,13.0014925000938,77.5786416004447
91,164431406,15124,,29572055428031620000HMPOLPUOFFPOS0013,94,Banaswadi PS,PS - 94,13.0196345004026,77.6403087004
92,164431402,15088,,29572055428031620000HMPOLPUOFFPOS0014,95,Devarajeevanahalli PS,PS - 95,13.0093318996255,77.6103367001824
93,164431408,21401,,29572055428031620000HMPOLPUOFFPOS0015,96,Hennur PS,PS - 96,13.024142138905,77.6457466922352
94,164431407,15124,,29572055428031620000HMPOLPUOFFPOS0016,97,Kadugondana Halli PS,PS - 97,13.0250519004078,77.6274595998832
95,164431409,21404,,29572055428031620000HMPOLPUOFFPOS0017,98,Ramamurthy Nagar PS,PS - 98,13.0121958894059,77.6676147006279
96,164431411,21387,,29572055428031620000HMPOLPUOFFPOS0018,99,Byappanahalli PS,PS - 99,12.99146656405,77.6568733672614
97,164431410,30092,,29572055428031620000HMPOLPUOFFPOS0019,100,Halasur PS,PS - 100,12.9748128797954,77.6253330610102
98,164431412,15118,,29572055428031620000HMPOLPUOFFPOS0020,101,Indiranagar PS,PS - 101,12.9829857001463,77.638280000055
99,164431413,21477,,29572055428031620000HMPOLPUOFFPOS0021,102,Jeevan Bheemanagar PS,PS - 102,12.9676990004541,77.6553852996563
100,164431401,30092,,29572055428031620000HMPOLPUOFFPOS0022,103,Bharathi Nagar PS,PS - 103,12.9912025002823,77.6120856003067
101,164431400,30092,,29572055428031620000HMPOLPUOFFPOS0023,104,Commercial Street PS,PS - 104,12.9820757996245,77.6064306996423
102,164431399,15123,,29572055428031620000HMPOLPUOFFPOS0024,105,Pulakeshinagar PS,PS - 105,12.9992725573424,77.6196531704426
103,164431403,30092,,29572055428031620000HMPOLPUOFFPOS0025,106,Shivajinagar PS,PS - 106,12.9855097999292,77.6052475001124
113,164431384,15680,,29572055428031620000HMPOLPUOFFPOS0072,158,Tilak Nagar PS,PS - 158,12.9283629998263,77.5905730004444
114,164431364,15081,,29572055428031620000HMPOLPUOFFPOS0073,159,Chamarajpet PS,PS - 159,12.9605426996297,77.5670263999736
115,164431432,30092,,29572055428031620000HMPOLPUOFFPOS0074,160,City Market PS,PS - 160,12.964957672278,77.5761266577661
116,164431417,30092,,29572055428031620000HMPOLPUOFFPOS0075,161,Cottonpet PS,PS - 161,12.9680170243514,77.5700979326779
117,164431431,30092,,29572055428031620000HMPOLPUOFFPOS0076,162,Kalasipalya PS,PS - 162,12.9573704167974,77.5773576933696
118,164431430,30092,,29572055428031620000HMPOLPUOFFPOS0077,163,Upparpet PS,PS - 163,12.9744759561439,77.5748211347527
